DATE,STATE,PRICE RECEIVED -- $ / BU,CV (%)
2018,ALABAMA,4.11,
2018,ALASKA,,
2018,ARIZONA,4.96,
2018,ARKANSAS,3.8,
2018,CALIFORNIA,4.4,
2018,COLORADO,3.7,
2018,CONNECTICUT,,
2018,DELAWARE,4.11,
2018,FLORIDA,4.47,
2018,GEORGIA,4.35,
2018,HAWAII,,
2018,IDAHO,4.42,
2018,ILLINOIS,3.62,
2018,INDIANA,3.78,
2018,IOWA,3.59,
2018,KANSAS,3.58,
2018,KENTUCKY,3.84,
2018,LOUISIANA,3.86,
2018,MAINE,,
2018,MARYLAND,4.11,
2018,MASSACHUSETTS,,
2018,MICHIGAN,3.72,
2018,MINNESOTA,3.47,
2018,MISSISSIPPI,3.8,
2018,MISSOURI,3.68,
2018,MONTANA,3.79,
2018,NEBRASKA,3.58,
2018,NEVADA,,
2018,NEW HAMPSHIRE,,
2018,NEW JERSEY,3.9,
2018,NEW MEXICO,4.3,
2018,NEW YORK,4.16,
2018,NORTH CAROLINA,4.39,
2018,NORTH DAKOTA,3.32,
2018,OHIO,3.74,
2018,OKLAHOMA,3.86,
2018,OREGON,4.13,
2018,PENNSYLVANIA,4.22,
2018,RHODE ISLAND,,
2018,SOUTH CAROLINA,4.5,
2018,SOUTH DAKOTA,3.38,
2018,TENNESSEE,3.76,
2018,TEXAS,4.13,
2018,UTAH,4.31,
2018,VERMONT,,
2018,VIRGINIA,4.06,
2018,WASHINGTON,4.11,
2018,WEST VIRGINIA,4.08,
2018,WISCONSIN,3.52,
2018,WYOMING,3.69,
2017,ALABAMA,4.04,
2017,ALASKA,,
2017,ARIZONA,4.55,
2017,ARKANSAS,3.64,
2017,CALIFORNIA,4.2,
2017,COLORADO,3.37,
2017,CONNECTICUT,,
2017,DELAWARE,4.02,
2017,FLORIDA,4.47,
2017,GEORGIA,4.33,
2017,HAWAII,,
2017,IDAHO,4.21,
2017,ILLINOIS,3.41,
2017,INDIANA,3.56,
2017,IOWA,3.31,
2017,KANSAS,3.28,
2017,KENTUCKY,3.69,
2017,LOUISIANA,3.72,
2017,MAINE,,
2017,MARYLAND,4.02,
2017,MASSACHUSETTS,,
2017,MICHIGAN,3.46,
2017,MINNESOTA,3.18,
2017,MISSISSIPPI,3.68,
2017,MISSOURI,3.41,
2017,MONTANA,3.41,
2017,NEBRASKA,3.35,
2017,NEVADA,,
2017,NEW HAMPSHIRE,,
2017,NEW JERSEY,3.75,
2017,NEW MEXICO,3.9,
2017,NEW YORK,4.07,
2017,NORTH CAROLINA,4.24,
2017,NORTH DAKOTA,3.04,
2017,OHIO,3.61,
2017,OKLAHOMA,3.59,
2017,OREGON,3.78,
2017,PENNSYLVANIA,3.87,
2017,RHODE ISLAND,,
2017,SOUTH CAROLINA,4.4,
2017,SOUTH DAKOTA,3.09,
2017,TENNESSEE,3.55,
2017,TEXAS,3.7,
2017,UTAH,3.96,
