DATE,STATE,"PRODUCTION, MEASURED IN BU"
2018,ALABAMA,"38,220,000"
2018,ARIZONA,"4,400,000"
2018,ARKANSAS,"116,745,000"
2018,CALIFORNIA,"11,245,000"
2018,COLORADO,"154,700,000"
2018,DELAWARE,"24,070,000"
2018,FLORIDA,"9,734,000"
2018,GEORGIA,"50,160,000"
2018,IDAHO,"26,625,000"
2018,ILLINOIS,"2,268,000,000"
2018,INDIANA,"967,680,000"
2018,IOWA,"2,499,000,000"
2018,KANSAS,"642,420,000"
2018,KENTUCKY,"213,500,000"
2018,LOUISIANA,"77,850,000"
2018,MARYLAND,"55,480,000"
2018,MICHIGAN,"289,170,000"
2018,MINNESOTA,"1,357,720,000"
2018,MISSISSIPPI,"85,100,000"
2018,MISSOURI,"466,200,000"
2018,MONTANA,"5,780,000"
2018,NEBRASKA,"1,785,600,000"
2018,NEW JERSEY,"8,460,000"
2018,NEW MEXICO,"6,545,000"
2018,NEW YORK,"97,785,000"
2018,NORTH CAROLINA,"93,790,000"
2018,NORTH DAKOTA,"448,290,000"
2018,OHIO,"617,100,000"
2018,OKLAHOMA,"36,180,000"
2018,OREGON,"7,800,000"
2018,OTHER STATES,0
2018,PENNSYLVANIA,"124,600,000"
2018,SOUTH CAROLINA,"39,370,000"
2018,SOUTH DAKOTA,"777,600,000"
2018,TENNESSEE,"112,560,000"
2018,TEXAS,"189,000,000"
2018,UTAH,"4,004,000"
2018,VIRGINIA,"47,450,000"
2018,WASHINGTON,"18,700,000"
2018,WEST VIRGINIA,"5,016,000"
2018,WISCONSIN,"545,240,000"
2018,WYOMING,"11,480,000"
2017,ALABAMA,"39,245,000"
2017,ARIZONA,"6,240,000"
2017,ARKANSAS,"108,885,000"
2017,CALIFORNIA,"13,360,000"
2017,COLORADO,"185,900,000"
2017,DELAWARE,"32,319,000"
2017,FLORIDA,"5,957,000"
2017,GEORGIA,"43,120,000"
2017,IDAHO,"23,345,000"
2017,ILLINOIS,"2,200,950,000"
2017,INDIANA,"936,000,000"
2017,IOWA,"2,605,800,000"
2017,KANSAS,"686,400,000"
2017,KENTUCKY,"217,160,000"
2017,LOUISIANA,"90,160,000"
2017,MARYLAND,"72,240,000"
2017,MICHIGAN,"300,510,000"
2017,MINNESOTA,"1,480,220,000"
2017,MISSISSIPPI,"94,500,000"
2017,MISSOURI,"552,500,000"
2017,MONTANA,"4,550,000"
2017,NEBRASKA,"1,683,300,000"
2017,NEW JERSEY,"11,690,000"
2017,NEW MEXICO,"5,762,000"
2017,NEW YORK,"78,085,000"
2017,NORTH CAROLINA,"119,280,000"
2017,NORTH DAKOTA,"448,970,000"
2017,OHIO,"557,550,000"
2017,OKLAHOMA,"38,430,000"
2017,OREGON,"9,328,000"
2017,OTHER STATES,0
2017,PENNSYLVANIA,"148,120,000"
2017,SOUTH CAROLINA,"44,200,000"
2017,SOUTH DAKOTA,"736,600,000"
2017,TENNESSEE,"121,410,000"
2017,TEXAS,"313,600,000"
2017,UTAH,"3,520,000"
2017,VIRGINIA,"47,600,000"
2017,WASHINGTON,"18,000,000"
2017,WEST VIRGINIA,"5,016,000"
2017,WISCONSIN,"509,820,000"
2017,WYOMING,"9,765,000"
2016,ALABAMA,"37,800,000"
2016,ARIZONA,"10,750,000"
2016,ARKANSAS,"127,395,000"
2016,CALIFORNIA,"18,500,000"
2016,COLORADO,"160,290,000"
2016,DELAWARE,"27,880,000"
2016,FLORIDA,"5,800,000"
2016,GEORGIA,"56,100,000"
2016,IDAHO,"18,800,000"
2016,ILLINOIS,"2,255,650,000"
2016,INDIANA,"946,310,000"
2016,IOWA,"2,740,500,000"
2016,KANSAS,"698,640,000"
2016,KENTUCKY,"222,600,000"
2016,LOUISIANA,"90,750,000"
2016,MARYLAND,"60,800,000"
2016,MICHIGAN,"320,280,000"
2016,MINNESOTA,"1,544,000,000"
2016,MISSISSIPPI,"119,520,000"
2016,MISSOURI,"570,500,000"
2016,MONTANA,"5,500,000"
2016,NEBRASKA,"1,699,900,000"
2016,NEW JERSEY,"10,295,000"
2016,NEW MEXICO,"6,150,000"
2016,NEW YORK,"73,530,000"
2016,NORTH CAROLINA,"121,260,000"
2016,NORTH DAKOTA,"516,660,000"
2016,OHIO,"524,700,000"
2016,OKLAHOMA,"42,350,000"
2016,OREGON,"8,970,000"
2016,OTHER STATES,0
2016,PENNSYLVANIA,"122,550,000"
2016,SOUTH CAROLINA,"44,450,000"
2016,SOUTH DAKOTA,"825,930,000"
2016,TENNESSEE,"125,330,000"
2016,TEXAS,"323,850,000"
2016,UTAH,"5,075,000"
2016,VIRGINIA,"50,320,000"
2016,WASHINGTON,"19,975,000"
2016,WEST VIRGINIA,"5,075,000"
2016,WISCONSIN,"573,160,000"
2016,WYOMING,"10,143,000"
