STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
ILLINOIS,USC00114710,"KEWANEE 1 E, IL US",41.2429,-89.8997,237.7,2016,,36.78,21.7,51.1,60.8,41.4
ILLINOIS,US1ILCR0012,"MOUNT CARROLL 6.8 NNW, IL US",42.187359,-90.021858,198.7,2016,,39.54,,,,
ILLINOIS,US1ILCR0013,"SHANNON 0.2 S, IL US",42.149816,-89.739925,286.5,2016,,36.28,,,,
ILLINOIS,US1ILJD0002,"GALENA 5.7 E, IL US",42.406264,-90.318103,246.9,2016,,41.76,,,,
ILLINOIS,USC00114833,"LAKE SPRINGFIELD, IL US",39.7578,-89.6044,177.1,2016,,26.42,,,,
ILLINOIS,USC00110598,"BENTLEY, IL US",40.3444,-91.1124,198.1,2016,,31.98,12.1,55,64.8,45.3
ILLINOIS,USC00115927,"MOUNT PULASKI, IL US",40.0076,-89.2832,201.5,2016,,37,15.1,,,
ILLINOIS,USC00111447,"CHATSWORTH, IL US",40.75003,-88.28644,219.5,2016,,44.35,,,,
ILLINOIS,US1ILSH0003,"MODE 3.7 NW, IL US",39.282721,-88.797309,180.4,2016,,41.46,,,,
ILLINOIS,US1ILSH0001,"SHELBYVILLE 0.5 NE, IL US",39.412008,-88.796114,200.9,2016,,42.06,,,,
ILLINOIS,USC00114957,"LAWRENCEVILLE 2 WSW, IL US",38.7239,-87.7196,137.5,2016,,46.96,,55.9,66.1,45.8
ILLINOIS,USC00111329,"CASEY, IL US",39.2975,-87.9746,189,2016,,45.46,,56.1,66.5,45.8
ILLINOIS,US1ILFL0007,"BRYANT 0.1 ENE, IL US",40.466504,-90.092179,185.3,2016,,22.7,,,,
ILLINOIS,US1ILCK0154,"WORTH 0.1 E, IL US",41.687397,-87.791084,185.9,2016,,36.6,,,,
ILLINOIS,US1ILGY0020,"MORRIS 2.5 SSE, IL US",41.33693314,-88.40452576,160.3,2016,,39.07,,,,
ILLINOIS,US1ILDP0127,"DOWNERS GROVE 0.4 NNE, IL US",41.803318,-88.015427,227.7,2016,,47.78,35.6,,,
ILLINOIS,US1ILMCL032,"DANVERS, IL US",40.527393,-89.170054,251.8,2016,,39.27,,,,
ILLINOIS,US1ILCK0152,"CHICAGO RIDGE 0.2 WSW, IL US",41.701767,-87.781987,181.7,2016,,39.24,,,,
ILLINOIS,US1ILLV0006,"PONTIAC 1.0 SE, IL US",40.865527,-88.629855,199,2016,,43.18,,,,
ILLINOIS,USC00111550,"CHICAGO NORTHERLY ISLAND, IL US",41.8558,-87.6094,177.7,2016,,,,,59.1,
ILLINOIS,USW00094870,"CHAMPAIGN URBANA WILLARD AIRPORT, IL US",40.03972,-88.27778,229.8,2016,10.3,36.79,,54.6,64.5,44.7
ILLINOIS,USC00115917,"MOUNT OLIVE 1 E, IL US",39.07273,-89.70138,204.2,2016,,36.58,,,,
ILLINOIS,USC00111436,"CHARLESTON, IL US",39.4762,-88.1652,213.4,2016,,38.31,,,,47
ILLINOIS,USC00114823,"LA HARPE, IL US",40.5838,-90.9686,210.3,2016,,31.03,15,54,63.8,44.1
ILLINOIS,USC00118194,"ST ANNE, IL US",41.0227,-87.7175,204.2,2016,,40.84,,,,
ILLINOIS,US1ILGY0010,"MINOOKA 0.3 NE, IL US",41.451816,-88.254274,182.3,2016,,44.15,,,,
ILLINOIS,US1ILCK0145,"OAK PARK 1.5 S, IL US",41.865916,-87.79277,189.3,2016,,40.95,,,,
ILLINOIS,US1ILDP0016,"AURORA 3.6 SE, IL US",41.734554,-88.239063,217,2016,,36.34,,,,
ILLINOIS,US1ILDP0135,"DOWNERS GROVE 3.1 SSE, IL US",41.75327682,-88.00208282,236.8,2016,,54.78,,,,
ILLINOIS,US1ILDP0132,"WHEATON 2.0 NNE, IL US",41.8798,-88.0863,241.4,2016,,37.3,,,,
ILLINOIS,US1ILDP0032,"LISLE 1.3 SE, IL US",41.78143,-88.06739,224.9,2016,,45.85,,,,
ILLINOIS,USC00115943,"MOUNT VERNON 3 NE, IL US",38.3483,-88.8533,149.4,2016,,48.41,5,56,65.4,46.6
ILLINOIS,USC00110251,"ARTHUR 1 W, IL US",39.7103,-88.4885,204.2,2016,,39.21,,,,
ILLINOIS,USC00114739,"KINCAID 3 W, IL US",39.5894,-89.4555,179.8,2016,,33.51,,,,
ILLINOIS,USC00110137,"ALTON MELVIN PRICE LOCK AND DAM, IL US",38.86702,-90.14886,132.6,2016,,39.91,,,65.4,
ILLINOIS,USC00112679,"EDWARDSVILLE 2 W, IL US",38.80933,-90.00345,141.7,2016,,51.44,,,,
ILLINOIS,USC00115825,"MORRIS 1 NW, IL US",41.3708,-88.4336,159.7,2016,,41.09,19.8,53.2,62.3,44
ILLINOIS,USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2016,,42,31.8,54.4,62.1,46.8
ILLINOIS,USW00094892,"CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US",41.91444,-88.24639,229.8,2016,8.9,32.51,,51.3,60.7,41.8
ILLINOIS,USC00114603,"KANKAKEE METRO WASTEWATER, IL US",41.13506,-87.88564,182.9,2016,,46.79,,53,62.2,43.8
ILLINOIS,USW00003960,"CAHOKIA ST LOUIS DOWNTOWN AIRPORT, IL US",38.57139,-90.15722,125.9,2016,6.7,38.11,,59.1,69.3,48.9
ILLINOIS,USW00014842,"PEORIA INTERNATIONAL AIRPORT, IL US",40.6675,-89.6839,198.1,2016,7.8,37.28,13.7,54.9,64.1,45.7
ILLINOIS,USW00004808,"CHICAGO AURORA MUNICIPAL AIRPORT, IL US",41.77,-88.48139,216.4,2016,8.9,34.41,,51.9,61.8,41.9
ILLINOIS,US1ILMCL023,"NORMAL 1.9 ESE, IL US",40.503516,-88.968246,246.3,2016,,40.04,,,,
ILLINOIS,USC00113940,"HAVANA, IL US",40.303,-90.0647,141.1,2016,,39.83,,,,
ILLINOIS,US1ILWN0010,"NEW MILLFORD 3.3 W, IL US",42.16623,-89.128652,220.1,2016,,29.99,,,,
ILLINOIS,USC00112736,"ELGIN, IL US",42.06278,-88.28617,232.6,2016,,36.41,27.2,51,60.7,41.3
ILLINOIS,US1ILLG0030,"ATLANTA 7.1 W, IL US",40.25812,-89.36701,192,2016,,33.93,,,,
ILLINOIS,USC00112854,"EUREKA, IL US",40.7123,-89.2611,243.8,2016,,41.32,10.9,,,
ILLINOIS,US1ILEF0024,"ALTAMONT 5.8 NNE, IL US",39.128358,-88.690851,191.1,2016,,40.03,,,,
ILLINOIS,US1ILCK0193,"WINNETKA 0.8 ESE, IL US",42.10164,-87.728947,192,2016,,38.68,,,,
ILLINOIS,USC00117077,"QUINCY DAM 21, IL US",39.9035,-91.4284,147.2,2016,,24.57,,,,46.1
ILLINOIS,USW00004838,"CHICAGO PALWAUKEE AIRPORT, IL US",42.12083,-87.90472,193.9,2016,7.8,33.83,,51.7,60.2,43.2
ILLINOIS,US1ILVR0020,"WESTVILLE 0.6 SSW, IL US",40.036634,-87.641214,206,2016,,43.73,,,,
ILLINOIS,US1ILCK0074,"OAK PARK 1.3 NNE, IL US",41.906214,-87.78188,192.9,2016,,40.1,,,,
ILLINOIS,US1ILCK0075,"ELK GROVE VILLAGE 2.2 WSW, IL US",41.995258,-88.052741,221.9,2016,,40.56,,,,
ILLINOIS,USW00093989,"QUINCY REGIONAL AIRPORT, IL US",39.9369,-91.1919,234.4,2016,8.9,30.91,,55.6,65.1,46
ILLINOIS,US1ILMCL002,"ARROWSMITH 1.7 NNE, IL US",40.471204,-88.619599,267.9,2016,,40.84,,,,
ILLINOIS,US1ILMCL004,"HEYWORTH 0.6 E, IL US",40.313462,-88.967553,234.1,2016,,38.57,,,,
ILLINOIS,USR0000IBNR,"BEAN RIDGE ILLINOIS, IL US",37.2486,-89.3783,213.4,2016,,,,60.4,69.6,51.3
ILLINOIS,US1ILMCL007,"LE ROY 4.1 SSW, IL US",40.289623,-88.802044,230.1,2016,,38.9,,,,
ILLINOIS,USC00119480,"WOODSTOCK 5 NW, IL US",42.3627,-88.5313,282.9,2016,,34.06,,,,
ILLINOIS,US1ILBU0008,"TISKILWA 2.1 N, IL US",41.323467,-89.50472,193.2,2016,,35.92,,,,
ILLINOIS,US1ILWN0008,"ROCKFORD 0.7 NW, IL US",42.2767,-89.0747,242,2016,,30.45,,,,
ILLINOIS,USW00094822,"ROCKFORD GREATER ROCKFORD AIRPORT, IL US",42.1927,-89.093,222.5,2016,8.7,35.2,26.3,51.9,61.1,42.7
ILLINOIS,USC00123858,"HAZELTON, IN US",39.4897,-87.5461,116.7,2016,,40.55,,,,
ILLINOIS,USC00119241,"WHITE HALL 1 E, IL US",39.4408,-90.3788,176.8,2016,,32.39,,54.9,65,44.9
ILLINOIS,USC00110330,"AUGUSTA, IL US",40.2333,-90.9471,207.3,2016,,31.09,16.1,,,
ILLINOIS,USC00111302,"CARMI 3, IL US",38.0733,-88.1805,102.1,2016,,54.72,,57.4,68.2,46.5
ILLINOIS,USC00111664,"CISNE 2 S, IL US",38.5047,-88.4094,138.4,2016,,45.85,,,,
ILLINOIS,US1ILVR0004,"HENNING 3.4 SSE, IL US",40.264737,-87.665615,207.9,2016,,44.89,,,,
ILLINOIS,USC00110338,"AURORA, IL US",41.78038,-88.30925,201.2,2016,,42.38,,51.8,60.7,42.9
ILLINOIS,US1ILSP0014,"FREEPORT 1.7 ESE, IL US",42.282572,-89.603634,245.1,2016,,37.62,,,,
ILLINOIS,USC00115901,"MOUNT CARROLL, IL US",42.098,-89.9841,195.1,2016,,36.48,22.5,,,37.1
ILLINOIS,US1ILSG0011,"CHATHAM 1.4 ESE, IL US",39.668785,-89.671109,178.9,2016,,35.91,,,,
ILLINOIS,US1ILCK0094,"LINCOLNWOOD 1.8 E, IL US",42.001874,-87.69847,184.1,2016,,40.62,,,,
ILLINOIS,US1ILGY0001,"CARBON HILL 3.1 N, IL US",41.341389,-88.298056,160,2016,,46.33,22.2,,,
ILLINOIS,US1ILEF0006,"EFFINGHAM 2.3 WNW, IL US",39.1346,-88.58881,180.4,2016,,48.08,,,,
ILLINOIS,USC00118186,"SPRINGFIELD NUMBER 2, IL US",39.79677,-89.67702,182.6,2016,,37.69,,55.1,65,45.3
ILLINOIS,US1ILKK0023,"BONFIELD 4.0 WSW, IL US",41.123025,-88.125737,187.8,2016,,43.25,,,,
ILLINOIS,US1ILCR0004,"CHADWICK 2.7 WSW, IL US",42.003829,-89.938898,245.1,2016,,38.18,,,,
ILLINOIS,USW00003887,"DECATUR AIRPORT, IL US",39.83444,-88.86556,205.7,2016,9.4,32.76,,55.6,65.3,45.8
ILLINOIS,USC00112500,"DWIGHT, IL US",41.1072,-88.4111,191.4,2016,,42.45,,51.4,61.3,41.5
ILLINOIS,USC00110442,"BARRINGTON 3 SW, IL US",42.1153,-88.1639,266.7,2016,,37.75,,50.1,58.5,41.8
ILLINOIS,US1ILKX0009,"KNOXVILLE 0.7 NW, IL US",40.913564,-90.293505,235.6,2016,,40.38,,,,
ILLINOIS,US1ILMG0006,"MURRAYVILLE 0.4 NE, IL US",39.586641,-90.245845,210,2016,,33.04,,,,
ILLINOIS,USC00114805,"LACON, IL US",41.0187,-89.4153,139.6,2016,,40.63,8.1,,,
ILLINOIS,USC00112745,"ELIZABETH, IL US",42.3162,-90.2269,205.7,2016,,40.98,20.1,49.8,59.6,39.9
ILLINOIS,USC00118293,"STOCKTON 3 NNE, IL US",42.3996,-89.9902,295.7,2016,,35.45,26.3,50.3,59.4,41.2
ILLINOIS,US1ILCK0082,"BURNHAM HEGEWISCH 1.6 NNW, IL US",41.659775,-87.552913,178,2016,,44.7,,,,
ILLINOIS,US1ILEF0010,"WATSON 0.3 NE, IL US",39.028435,-88.565906,171,2016,,42.89,,,,
ILLINOIS,USC00119148,"WEST FRANKFORT, IL US",37.9088,-88.9316,129.5,2016,,54.63,,,,
ILLINOIS,US1ILFK0005,"WEST FRANKFORT 0.3 WNW, IL US",37.90176116,-88.93412299,125.9,2016,,51.5,,,,
ILLINOIS,USW00014880,"CHICAGO WAUKEGAN REGIONAL AIRPORT, IL US",42.41667,-87.86667,221.6,2016,7.6,28.78,,50.1,58.6,41.5
ILLINOIS,US1ILDP0079,"BURR RIDGE 1.9 SW, IL US",41.731939,-87.948599,220.7,2016,,42.44,,,,
ILLINOIS,USC00119021,"WATSEKA 2 NW, IL US",40.79403,-87.75458,189,2016,,39.6,,,,
ILLINOIS,USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",41.96019,-87.93162,201.8,2016,9.6,36,33.3,52.3,60.7,43.8
ILLINOIS,USC00115768,"MONMOUTH, IL US",40.9443,-90.6381,219.5,2016,,36.87,17.4,53.2,62.9,43.6
ILLINOIS,USC00113106,"FLORA, IL US",38.678,-88.4798,146.6,2016,,48.4,,57,67.6,46.4
ILLINOIS,USC00115763,"MONEE RESERVOIR, IL US",41.39355,-87.76438,225.6,2016,,44.89,,,,
ILLINOIS,USC00116610,"PARIS STP, IL US",39.6185,-87.6672,197.8,2016,,43.44,,54.1,64.2,44.1
ILLINOIS,US1ILCP0001,"HOMER 2.0 N, IL US",40.060999,-87.96377,200.9,2016,,43.57,13.8,,,
ILLINOIS,USC00116738,"PERRY 6 NW, IL US",39.8058,-90.8236,198.1,2016,,25.76,13.5,55.4,66.2,44.6
