STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
INDIANA,US1INMG0021,"MARTINSVILLE 2.3 SE, IN US",39.39605,-86.39561667,194.8,2016,,44.81,,,,
INDIANA,USW00014848,"SOUTH BEND AIRPORT, IN US",41.7072,-86.3163,235.6,2016,,46.65,84.1,51.2,60.5,41.8
INDIANA,USC00128442,"STENDAL, IN US",38.2691,-87.163,193.5,2016,,52.42,,57.1,66.4,47.8
INDIANA,USC00126023,"MUNCIE, IN US",40.1825,-85.3497,294.4,2016,,40.25,15.3,,,
INDIANA,USC00125174,"LOWELL, IN US",41.2647,-87.4178,202.7,2016,,46.48,,52,61.8,42.1
INDIANA,USC00128437,"SOUTH BEND, IN US",41.7005,-86.2487,216.4,2016,,48.3,84.1,,,
INDIANA,US1INLP0007,"LA PORTE 1.6 SW, IN US",41.5904,-86.7343,253.9,2016,,46.62,,,,
INDIANA,US1INHM0005,"CARMEL 1.5 W, IN US",39.968514,-86.136939,256.9,2016,,40.43,,,,
INDIANA,US1INMG0024,"N9JPX PARAGON 3.2 ENE, IN US",39.4058,-86.5045,180.7,2016,,46.58,,,,
INDIANA,USC00123547,"GREENSBURG, IN US",39.3475,-85.4891,285.6,2016,,48.07,8.3,,,
INDIANA,US1INSJ0034,"WALKERTON 4.1 ENE, IN US",41.4869,-86.4082,227.4,2016,,49.6,,,,
INDIANA,US1INNW0001,"MOUNT AYR 1.6 NNE, IN US",40.973306,-87.290494,206,2016,,36.74,,,,
INDIANA,US1INPT0069,"PORTER 0.6 S, IN US",41.618918,-87.082463,193.9,2016,,41.1,,,,
INDIANA,US1INSJ0028,"SOUTH BEND 4.6 SE, IN US",41.6209,-86.2152,269.4,2016,,48.1,61,,,
INDIANA,US1INAL0005,"HUNTERTOWN 2.6 ESE, IN US",41.21444,-85.12422,257.9,2016,,33.29,17.9,,,
INDIANA,USC00126801,"PENCE 1 SW, IN US",40.3522,-87.525,213.4,2016,,,13.2,,,
INDIANA,US1INMN0007,"BLOOMINGTON 6.5 WNW, IN US",39.208272,-86.630458,253.9,2016,,55.55,,,,
INDIANA,US1INHM0019,"LAPEL 4.7 NW, IN US",40.122701,-85.901071,246,2016,,41.89,,,,
INDIANA,US1INRS0009,"RUSHVILLE 0.7 ENE, IN US",39.61834,-85.43393,297.8,2016,,49.26,,,,
