STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
IOWA,USC00134561,"LAKE PARK, IA US",43.4483,-95.3247,446.5,2016,,33.09,32.4,49.2,59.4,38.9
IOWA,USC00134561,"LAKE PARK, IA US",43.4483,-95.3247,446.5,2017,,35.59,28.9,,58.7,
IOWA,USC00133473,"GRINNELL 3 SW, IA US",41.72,-92.749,275.8,2016,,38.41,20.9,49.8,59.9,39.6
IOWA,USC00133473,"GRINNELL 3 SW, IA US",41.72,-92.749,275.8,2017,,32.75,13,49,60.1,37.9
IOWA,USC00138009,"STRAWBERRY POINT, IA US",42.6853,-91.533,365.8,2016,,39.67,34.7,,,
IOWA,USC00138009,"STRAWBERRY POINT, IA US",42.6853,-91.533,365.8,2017,,35.82,18.1,,,
IOWA,USC00138806,"WEBSTER CITY, IA US",42.4685,-93.7974,326.7,2016,,38.1,32,48.8,59.5,38
IOWA,USC00138806,"WEBSTER CITY, IA US",42.4685,-93.7974,326.7,2017,,33.41,25.5,48.1,59.3,36.9
IOWA,USC00133239,"GILMAN, IA US",41.878,-92.7786,312.4,2016,,39.82,,,,
IOWA,USC00133239,"GILMAN, IA US",41.878,-92.7786,312.4,2017,,27.71,,,,
IOWA,US1IAPK0021,"JOHNSTON 3.7 NNW, IA US",41.7366,-93.7236,292.3,2016,,37.38,17.8,,,
IOWA,US1IAPK0021,"JOHNSTON 3.7 NNW, IA US",41.7366,-93.7236,292.3,2017,,35.03,13,,,
IOWA,USW00014972,"SPENCER MUNICIPAL AIRPORT, IA US",43.16444,-95.20167,407.8,2016,11.4,35.83,,48.7,59.4,38.1
IOWA,USW00014972,"SPENCER MUNICIPAL AIRPORT, IA US",43.16444,-95.20167,407.8,2017,11,26.46,,48,59.2,36.8
IOWA,US1IABT0011,"MOUNT AUBURN 2.2 NNW, IA US",42.28677,-92.106433,261.8,2017,,32.65,,,,
