STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
NEBRASKA,US1NELA0004,"LINCOLN 3.3 SSE, NE US",40.771517,-96.668918,376.1,2016,,39.23,,,,
NEBRASKA,US1NEBF0001,"KEARNEY 1.9 NNE, NE US",40.72724842,-99.07424904,673.3,2016,,22.96,,,,
NEBRASKA,USC00255780,"NAPONEE, NE US",40.0783,-99.1386,577.3,2016,,24.93,18,,,
NEBRASKA,USC00251065,"BRADSHAW, NE US",40.8836,-97.7491,524.3,2016,,31.21,20.3,,,
NEBRASKA,USC00253365,"GOTHENBURG, NE US",40.9394,-100.1513,793.4,2016,,27.69,,52.9,65.7,40.2
NEBRASKA,US10buff036,"RIVERDALE 0.2 WNW, NE US",40.785292,-99.165347,0,2016,,20.55,,,,
NEBRASKA,USC00254335,"KEARNEY 4 NE, NE US",40.7258,-99.0133,649.2,2016,,21.87,19.1,52.7,65,40.4
NEBRASKA,USC00251189,"BROADWATER 3 WNW, NE US",41.6111,-102.9013,1060.4,2016,,16.43,15.4,,,
NEBRASKA,USC00254455,"KINGSLEY DAM, NE US",41.2097,-101.6705,1011.3,2016,,15.69,22,52.2,63.7,40.8
NEBRASKA,USC00252037,"CROFTON, NE US",42.7363,-97.4969,426.7,2016,,32.09,41.7,50.7,61.5,39.8
NEBRASKA,USW00094995,"LINCOLN 8 ENE, NE US",40.8484,-96.5651,362.4,2016,,39.21,,54.1,65.6,42.5
NEBRASKA,USC00258935,"WALTHILL, NE US",42.1505,-96.4755,390.1,2016,,28.26,,51.2,62.4,39.9
NEBRASKA,USW00024091,"IMPERIAL MUNICIPAL AIRPORT, NE US",40.51,-101.62,996.1,2016,10.7,19.17,,53,66.9,39.1
NEBRASKA,USW00094996,"LINCOLN 11 SW, NE US",40.6954,-96.8541,418.2,2016,,32.42,,54.2,65,43.4
NEBRASKA,USC00252715,"EMERSON, NE US",42.27972,-96.72444,443.2,2016,,35.8,41,,,
