STATE,DATE,ELEVATION,PRCP,SNOW,TAVG,TMAX,TMIN,PRICE RECEIVED -- $ / BU,EAR COUNT - PER ACRE,"PRODUCTION, MEASURED IN $","PRODUCTION, MEASURED IN BU"
ILLINOIS,2016,201.29024390243902,38.93609756097561,17.380487804878047,53.54390243902439,63.10487804878047,43.980487804878045,3.43,"30,450","7,736,880,000","2,255,650,000"
ILLINOIS,2017,199.59999999999997,37.51766666666666,9.750000000000002,53.35166666666667,63.75833333333332,42.945,3.41,"30,250","7,505,240,000","2,200,950,000"
ILLINOIS,2018,201.94745762711864,45.61830508474575,26.445762711864408,51.12033898305084,60.9406779661017,41.30000000000001,3.62,"31,500","8,202,600,000","2,268,000,000"
INDIANA,2016,226.8839999999999,43.82159999999999,22.73,53.62000000000002,63.511999999999986,43.74,3.63,"29,250","3,435,105,000","946,310,000"
INDIANA,2017,232.7436363636363,46.6410909090909,13.647272727272732,53.15999999999999,63.154545454545456,43.165454545454544,3.56,"28,850","3,332,160,000","936,000,000"
INDIANA,2018,227.73454545454538,49.07236363636362,22.72545454545454,51.861818181818194,61.41999999999998,42.31272727272728,3.78,"29,750","3,538,080,000","967,680,000"
IOWA,2016,312.4576923076921,39.02205128205127,25.351282051282062,50.56025641025639,60.6769230769231,40.43461538461538,3.3,"30,500","9,043,650,000","2,740,500,000"
IOWA,2017,317.5839999999999,33.835733333333344,19.461333333333332,49.58133333333334,60.11600000000001,39.06000000000001,3.31,"30,600","8,625,198,000","2,605,800,000"
IOWA,2018,318.6624999999998,47.120625000000004,40.73375000000001,47.09750000000001,56.96624999999999,37.22874999999999,3.59,"30,800","8,780,800,000","2,499,000,000"
NEBRASKA,2016,749.9090361445783,25.818192771084348,27.72530120481927,51.71746987951806,64.60602409638554,38.820481927710816,3.32,"25,400","5,643,668,000","1,699,900,000"
NEBRASKA,2017,739.7108974358972,25.70025641025642,27.03589743589744,50.88910256410256,63.733333333333356,38.04551282051282,3.35,"25,950","5,639,055,000","1,683,300,000"
NEBRASKA,2018,728.7413333333332,29.841799999999996,45.12066666666667,48.498,60.58599999999997,36.413999999999994,3.58,"26,800","6,345,696,000","1,785,600,000"
